	time	open	high	low	close	tick_volume	spread	real_volume
0	2022-04-18 07:00:00	1.07929	1.0796999999999999	1.07895	1.07924	1785	0	0
1	2022-04-18 08:00:00	1.07924	1.07952	1.07883	1.07944	1777	0	0
2	2022-04-18 09:00:00	1.07944	1.08	1.07905	1.07939	1958	0	0
3	2022-04-18 10:00:00	1.07938	1.08037	1.07871	1.07913	2535	0	0
4	2022-04-18 11:00:00	1.07913	1.07945	1.07829	1.07922	1759	0	0
5	2022-04-18 12:00:00	1.07919	1.07985	1.07895	1.07931	1310	0	0
6	2022-04-18 13:00:00	1.0793	1.08016	1.07903	1.0801	1654	0	0
7	2022-04-18 14:00:00	1.08009	1.08138	1.08007	1.08095	2265	0	0
8	2022-04-18 15:00:00	1.08095	1.08147	1.07992	1.08049	3386	0	0
9	2022-04-18 16:00:00	1.08049	1.08106	1.07966	1.08003	4357	0	0
10	2022-04-18 17:00:00	1.08003	1.08049	1.07911	1.0793	2911	0	0
11	2022-04-18 18:00:00	1.07929	1.07979	1.0783	1.07839	2590	0	0
12	2022-04-18 19:00:00	1.0784	1.07865	1.07702	1.0773	2902	0	0
13	2022-04-18 20:00:00	1.0773	1.0784	1.07717	1.07831	2302	0	0
14	2022-04-18 21:00:00	1.0783	1.07862	1.07823	1.0784	1938	0	0
15	2022-04-18 22:00:00	1.07839	1.07841	1.0777700000000001	1.07829	1898	0	0
16	2022-04-18 23:00:00	1.0783	1.07841	1.07801	1.0781	877	0	0
17	2022-04-19 00:00:00	1.07805	1.07806	1.07743	1.07759	458	21	0
18	2022-04-19 01:00:00	1.07759	1.07876	1.07757	1.07806	1141	7	0
19	2022-04-19 02:00:00	1.07805	1.07851	1.07754	1.07798	1136	0	0
20	2022-04-19 03:00:00	1.07796	1.07877	1.0773	1.07788	3420	0	0
21	2022-04-19 04:00:00	1.07791	1.07845	1.07751	1.07772	3291	0	0
22	2022-04-19 05:00:00	1.07772	1.07781	1.07612	1.0769	2460	0	0
23	2022-04-19 06:00:00	1.0769	1.0775	1.07672	1.07724	1862	0	0
24	2022-04-19 07:00:00	1.07725	1.0782	1.07674	1.07722	2252	0	0
25	2022-04-19 08:00:00	1.07722	1.07775	1.0766499999999999	1.07743	2463	0	0
26	2022-04-19 09:00:00	1.07743	1.07879	1.07674	1.0783	4465	0	0
27	2022-04-19 10:00:00	1.07829	1.08026	1.07816	1.08019	5534	0	0
28	2022-04-19 11:00:00	1.08019	1.08141	1.07934	1.08108	4810	0	0
29	2022-04-19 12:00:00	1.08109	1.08114	1.07936	1.07981	3533	0	0
30	2022-04-19 13:00:00	1.07981	1.07981	1.0784799999999999	1.0794	2827	0	0
31	2022-04-19 14:00:00	1.0794	1.07974	1.0784799999999999	1.07959	3618	0	0
32	2022-04-19 15:00:00	1.07958	1.08045	1.07888	1.07941	5656	0	0
33	2022-04-19 16:00:00	1.07942	1.0808200000000001	1.0786	1.08061	7755	0	0
34	2022-04-19 17:00:00	1.08061	1.0806499999999999	1.0785	1.07855	6878	0	0
35	2022-04-19 18:00:00	1.07855	1.07964	1.0782	1.07897	4999	0	0
36	2022-04-19 19:00:00	1.07897	1.07978	1.07841	1.07962	3326	0	0
37	2022-04-19 20:00:00	1.07962	1.08036	1.07887	1.0789	2881	0	0
38	2022-04-19 21:00:00	1.07889	1.0795	1.07825	1.07902	2889	0	0
39	2022-04-19 22:00:00	1.07902	1.07919	1.07828	1.07888	2533	0	0
40	2022-04-19 23:00:00	1.0789	1.07913	1.0784799999999999	1.07877	1315	0	0
41	2022-04-20 00:00:00	1.07876	1.07897	1.07827	1.07876	2119	16	0
42	2022-04-20 01:00:00	1.07879	1.07922	1.07866	1.07894	1471	7	0
43	2022-04-20 02:00:00	1.07895	1.07952	1.07868	1.07944	1458	0	0
44	2022-04-20 03:00:00	1.07944	1.07995	1.0787	1.07964	2689	0	0
45	2022-04-20 04:00:00	1.07964	1.08015	1.0784	1.07973	4491	0	0
46	2022-04-20 05:00:00	1.07971	1.08095	1.07925	1.08071	2811	0	0
47	2022-04-20 06:00:00	1.08074	1.08223	1.0806	1.08184	2946	0	0
48	2022-04-20 07:00:00	1.08185	1.08221	1.08144	1.08201	2371	0	0
49	2022-04-20 08:00:00	1.08201	1.08201	1.08123	1.08165	2113	0	0
50	2022-04-20 09:00:00	1.08165	1.08185	1.08079	1.08132	3475	0	0
51	2022-04-20 10:00:00	1.08133	1.08188	1.0807	1.08095	5027	0	0
52	2022-04-20 11:00:00	1.08095	1.08413	1.08057	1.08396	3818	0	0
53	2022-04-20 12:00:00	1.08395	1.08667	1.08294	1.0854	5316	0	0
54	2022-04-20 13:00:00	1.0854	1.08658	1.08508	1.08588	4403	0	0
55	2022-04-20 14:00:00	1.08585	1.08592	1.08254	1.0827	4404	0	0
56	2022-04-20 15:00:00	1.0827	1.08332	1.08208	1.08291	5035	0	0
57	2022-04-20 16:00:00	1.08291	1.08435	1.0822	1.08418	7359	0	0
58	2022-04-20 17:00:00	1.08418	1.08659	1.08414	1.08646	7362	0	0
59	2022-04-20 18:00:00	1.08643	1.08662	1.08468	1.08548	4608	0	0
60	2022-04-20 19:00:00	1.08548	1.086	1.08407	1.08429	3749	0	0
61	2022-04-20 20:00:00	1.08427	1.08524	1.08401	1.08517	3718	0	0
62	2022-04-20 21:00:00	1.08517	1.08575	1.08402	1.08413	3523	0	0
63	2022-04-20 22:00:00	1.08413	1.0854300000000001	1.08408	1.08534	2809	0	0
64	2022-04-20 23:00:00	1.08535	1.08548	1.08474	1.08539	1217	0	0
65	2022-04-21 00:00:00	1.08496	1.08515	1.08408	1.08484	1895	18	0
66	2022-04-21 01:00:00	1.08507	1.08536	1.08453	1.08523	1383	7	0
67	2022-04-21 02:00:00	1.08523	1.08542	1.0847	1.08493	1200	0	0
68	2022-04-21 03:00:00	1.08497	1.08508	1.08313	1.08362	3148	0	0
69	2022-04-21 04:00:00	1.08362	1.0844	1.08347	1.08381	3012	0	0
70	2022-04-21 05:00:00	1.08381	1.08381	1.08244	1.08263	2084	0	0
71	2022-04-21 06:00:00	1.08263	1.08322	1.08239	1.08308	2160	0	0
72	2022-04-21 07:00:00	1.08308	1.08358	1.08292	1.08325	1899	0	0
73	2022-04-21 08:00:00	1.08325	1.08519	1.0832	1.08468	3083	0	0
74	2022-04-21 09:00:00	1.08468	1.0903100000000001	1.08461	1.09023	6677	0	0
75	2022-04-21 10:00:00	1.09024	1.09364	1.08882	1.09276	7639	0	0
76	2022-04-21 11:00:00	1.09276	1.09302	1.09112	1.09212	4991	0	0
77	2022-04-21 12:00:00	1.09213	1.09254	1.09077	1.09138	3850	0	0
78	2022-04-21 13:00:00	1.09138	1.09216	1.09	1.09004	3831	0	0
79	2022-04-21 14:00:00	1.09005	1.09013	1.08748	1.08798	5235	0	0
80	2022-04-21 15:00:00	1.08801	1.08935	1.08757	1.08912	4416	0	0
81	2022-04-21 16:00:00	1.08912	1.08959	1.08709	1.08723	7263	0	0
82	2022-04-21 17:00:00	1.08722	1.08761	1.08411	1.08428	6877	0	0
83	2022-04-21 18:00:00	1.08428	1.08596	1.0836999999999999	1.08422	6873	0	0
84	2022-04-21 19:00:00	1.08422	1.08501	1.08333	1.08435	5013	0	0
85	2022-04-21 20:00:00	1.08436	1.08583	1.08371	1.08501	6231	0	0
86	2022-04-21 21:00:00	1.08501	1.08515	1.08376	1.08383	4682	0	0
87	2022-04-21 22:00:00	1.08384	1.08421	1.08307	1.08385	3764	0	0
88	2022-04-21 23:00:00	1.08385	1.08418	1.08299	1.08336	1825	0	0
89	2022-04-22 00:00:00	1.08368	1.08377	1.08318	1.0834	1115	19	0
