	time	open	high	low	close	tick_volume	spread	real_volume
0	2020-11-12	1.17771	1.18231	1.17586	1.18048	57097	0	0
1	2020-11-13	1.18047	1.18372	1.1798899999999999	1.18326	45110	0	0
2	2020-11-16	1.184	1.18688	1.18141	1.18516	57741	0	0
3	2020-11-17	1.18509	1.18939	1.18428	1.18605	43717	0	0
4	2020-11-18	1.18618	1.1891	1.18491	1.18526	49423	0	0
5	2020-11-19	1.18526	1.18825	1.18163	1.1874500000000001	53540	1	0
6	2020-11-20	1.1874500000000001	1.18909	1.18497	1.18587	44971	0	0
7	2020-11-23	1.18496	1.19061	1.18	1.18399	49370	0	0
8	2020-11-24	1.18399	1.18959	1.18358	1.18904	49664	0	0
9	2020-11-25	1.18905	1.19298	1.18819	1.19157	56219	0	0
10	2020-11-26	1.19164	1.19409	1.18853	1.19127	34494	0	0
11	2020-11-27	1.19125	1.1963	1.19067	1.19593	38264	0	0
12	2020-11-30	1.196	1.20034	1.19236	1.19256	57731	0	0
13	2020-12-01	1.19261	1.20766	1.19253	1.20692	58891	0	0
14	2020-12-02	1.20691	1.21184	1.204	1.21136	69133	0	0
15	2020-12-03	1.21137	1.21746	1.21011	1.21469	74096	0	0
16	2020-12-04	1.21447	1.21773	1.211	1.21201	76974	0	0
17	2020-12-07	1.21299	1.21664	1.20787	1.21091	77841	0	0
18	2020-12-08	1.21091	1.2134	1.20956	1.21022	71978	0	0
19	2020-12-09	1.21022	1.21474	1.20585	1.20802	72315	0	0
20	2020-12-10	1.20789	1.21588	1.2073800000000001	1.21398	85474	0	0
21	2020-12-11	1.21361	1.21628	1.21054	1.21125	71031	0	0
22	2020-12-14	1.21366	1.21766	1.21156	1.21432	65850	0	0
23	2020-12-15	1.21432	1.2168700000000001	1.21214	1.21505	65615	0	0
24	2020-12-16	1.21489	1.2212399999999999	1.21249	1.21984	76468	0	0
25	2020-12-17	1.21985	1.22729	1.21897	1.22684	65915	0	0
26	2020-12-18	1.22676	1.22719	1.22256	1.22542	58548	0	0
27	2020-12-21	1.22166	1.22528	1.21296	1.22424	103141	0	0
28	2020-12-22	1.22434	1.22573	1.2152	1.21616	79150	0	0
29	2020-12-23	1.21618	1.22212	1.2154	1.2186	79543	0	0
30	2020-12-24	1.21857	1.22157	1.21774	1.21808	47758	0	0
31	2020-12-28	1.21696	1.22506	1.21696	1.2216	65208	0	0
32	2020-12-29	1.2216	1.22749	1.2207	1.22482	56037	0	0
33	2020-12-30	1.22471	1.23099	1.2247	1.22961	66896	0	0
